id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc
8117118,40339.61528,1662,4541,170.22,Swipe Transaction,11849,Belleville,IL,62221,5912
8454509,40421.49028,1699,2204,28.97,Swipe Transaction,23481,San Jose,CA,95135,5812
7897693,40285.61042,92,2802,8.12,Swipe Transaction,98648,Stokesdale,NC,27357,5814
7575549,40204.62847,852,4187,34.84,Swipe Transaction,58422,High Springs,FL,32643,5300
8278381,40379.24583,1455,5843,6.64,Swipe Transaction,76199,San Diego,CA,92102,5813
8700600,40480.65417,464,3233,146.75,Swipe Transaction,32175,Orlando,FL,32804,7538
7686758,40232.60625,456,2800,16.51,Swipe Transaction,83480,Cape Coral,FL,33909,9402
8002620,40311.50972,1507,5589,11.26,Swipe Transaction,94527,South Beloit,IL,61080,7542
7595783,40209.81458,213,2136,163.26,Swipe Transaction,86278,Garland,TX,75044,4900
7495846,40184.36458,1296,3708,25.49,Online Transaction,18563,ONLINE,ONLINE,,4121
8681850,40476.34583,552,3275,66.21,Swipe Transaction,26810,Gainesville,FL,32608,5541
8402054,40408.69722,942,4973,34.42,Swipe Transaction,60569,Baton Rouge,LA,70806,5300
8269231,40376.79653,1684,3278,27.31,Online Transaction,39021,ONLINE,ONLINE,,4784
7795738,40260.25,1129,5492,92,Swipe Transaction,41260,Oceanside,CA,92058,5541
7881911,40281.55417,1041,2500,51.29,Swipe Transaction,42858,Trenton,GA,30752,7538
8206337,40361.50139,1176,5003,12.72,Swipe Transaction,23774,Helsinki,Finland,,5411
7561728,40201.36875,319,248,49.24,Swipe Transaction,32175,Fresno,CA,93727,7538
7830816,40268.69375,814,4536,-94,Swipe Transaction,43293,Palm Bay,FL,32905,5499
8248213,40371.6375,1097,4690,56.99,Swipe Transaction,90865,Mears,MI,49436,5311
7902781,40286.74722,1575,224,169.62,Swipe Transaction,99244,Osprey,FL,34229,5411
7939220,40295.79375,198,3647,10.31,Swipe Transaction,26243,Columbus,GA,31906,5921
8056502,40324.69722,840,2416,90.89,Swipe Transaction,61743,San Francisco,CA,94131,5411
8353220,40397.25694,676,1250,12.1,Swipe Transaction,75936,The Colony,TX,75056,5814
7750551,40248.59722,373,5389,57.49,Swipe Transaction,22204,Huntington,IN,46750,5541
7814612,40264.79583,248,4932,36.07,Swipe Transaction,30055,Tampa,FL,33613,7832
7715079,40239.68889,1225,1163,28.6,Online Transaction,18563,ONLINE,ONLINE,,4121
8663744,40471.68611,1169,2485,22.08,Swipe Transaction,69956,Round Rock,TX,78681,5310
7607922,40212.81597,1416,4644,34.9,Swipe Transaction,13092,Camillus,NY,13031,5812
8391048,40406.35903,1559,2920,0.91,Swipe Transaction,14528,Acworth,GA,30101,5499
8367803,40400.55486,1063,2015,55.18,Swipe Transaction,64057,Apple River,IL,61001,4111
8196431,40359.17361,1736,2647,55.1,Swipe Transaction,24823,Brooklyn,NY,11211,7538
7758300,40250.69306,1452,3801,9.03,Swipe Transaction,50867,Houston,TX,77056,5541
7930880,40293.70069,776,5859,140,Swipe Transaction,27092,Memphis,TN,38116,4829
8659179,40470.63819,1985,4085,4.39,Swipe Transaction,13523,Decatur,GA,30033,5310
7932582,40294.35139,242,5591,25.09,Swipe Transaction,60569,Greenfield,MA,1301,5300
8284085,40380.45694,1654,4276,12.85,Swipe Transaction,78454,Newport,RI,2840,5812
8041426,40321.30556,1020,1224,4.36,Swipe Transaction,20519,Lockport,IL,60441,5942
8497406,40431.73333,1224,2412,52.35,Swipe Transaction,20519,O Fallon,MO,63366,5942
8039978,40320.71667,1378,4227,40.4,Swipe Transaction,26905,Kimberly,WI,54136,5812
7590453,40208.57153,1448,4685,23.05,Swipe Transaction,21548,Inman,SC,29349,7210
8560408,40446.94375,1920,2791,27.19,Swipe Transaction,19756,Brainerd,MN,56401,7832
7895882,40285.29306,48,5863,88,Swipe Transaction,26810,Albuquerque,NM,87107,5541
7638171,40220.45625,77,2438,12.01,Swipe Transaction,75141,Camp Hill,PA,17011,5912
7606391,40212.52778,1529,1156,24.35,Swipe Transaction,23492,Pompano Beach,FL,33076,5411
8361157,40399.05,11,189,30.33,Swipe Transaction,86561,Reisterstown,MD,21136,5300
8286998,40381.25208,1382,3923,47.56,Swipe Transaction,48618,Dallas,TX,75283,5251
7625071,40217.35347,1561,2966,5.97,Swipe Transaction,59935,Fort Mill,SC,29715,5499
8321498,40389.51389,754,3787,27.39,Swipe Transaction,30399,Stedman,NC,28391,5813
8272817,40377.66042,1736,113,86,Swipe Transaction,59935,Brooklyn,NY,11211,5499
8480669,40427.70556,1788,2538,58.21,Swipe Transaction,44036,Raceland,LA,70394,5411
7762833,40251.77153,1407,5384,77.09,Swipe Transaction,7999,Bessemer,AL,35023,5912
8323677,40390.06667,1077,4104,2.25,Swipe Transaction,50783,Phoenix,AZ,85016,5411
7824066,40267.29375,804,2553,3.38,Swipe Transaction,31893,Bowling Green,KY,42101,5311
8216476,40363.93819,1699,2204,90.32,Swipe Transaction,6871,San Jose,CA,95134,5812
7765122,40252.45972,976,2169,17.31,Swipe Transaction,25887,Norwalk,CT,6854,5814
